0.3103448,0.2666667,0.2048193,0.04972376,0.1280277,0.1692308,0.4682081,0.4604891,0.4950495,0.3058823,0.2244899,6
0.9310346,0.2424242,0.2409639,0.3425415,0.1314879,0.4153846,0.265896,0.5440764,0.4554456,0.2470588,0.3469389,6
0.6206895,0.1818182,0.1927711,0.4309393,0.1591695,0.6769231,0.7803468,0.5820678,0.3861387,0.2,0.3061224,6
0.6206895,0.1818182,0.1927711,0.4309393,0.1591695,0.6769231,0.7803468,0.5820678,0.3861387,0.2,0.3061224,6
0.9310346,0.2424242,0.2409639,0.3425415,0.1314879,0.4153846,0.265896,0.5440764,0.4554456,0.2470588,0.3469389,6
0.2758619,0.2909091,0.09638554,0.3480663,0.1141868,0.4153846,0.4913295,0.5288762,0.3762378,0.2823529,0.2448981,6
0.3103448,0.2666667,0.2048193,0.04972376,0.1280277,0.1692308,0.4682081,0.4604891,0.4950495,0.3058823,0.2244899,6
0.9310346,0.169697,0.2590362,0.0441989,0.1107266,0.3846154,0.4508671,0.4452889,0.4158417,0.2588235,0.5306123,6
0.9310346,0.230303,0.246988,0.04143647,0.07266436,0.1230769,0.06936416,0.2173271,0.1881189,0.3882353,0.7346939,5
0.862069,0.1212121,0.2228916,0.02762431,0.09688581,0.2,0.1387283,0.30851,0.3762378,0.4705882,0.489796,5
0.413793,0.09696969,0.2409639,0.0441989,0.1107266,0.6923077,0.5317919,0.2477184,0.7326733,0.3411764,0.8163264,7
0.413793,0.1090909,0.2289157,0.0441989,0.06920416,0.3846154,0.3526012,0.2629186,0.4455446,0.3764706,0.6122448,7
0.3103448,0.4848485,0.02409638,0.02209945,0.1176471,0.4153846,0.2774566,0.3693016,0.4356436,0.1529412,0.2448981,6
0.6896551,0.3151515,0.253012,0.02209945,0.07266436,0.2153846,0.6936416,0.2857143,0.3168316,0.3529411,0.5918368,6
0.3793103,0.2787879,0.08433735,0.3756906,0.1107266,0.4769231,0.4739884,0.5744722,0.4158417,0.317647,0.2244899,5
0.3448276,0.2787879,0.2289157,0.121547,0.0899654,0.2461538,0.2947977,0.2477184,0.3663368,0.1411764,0.5306123,7
0.7586206,0.7151515,0.08433735,0.0441989,0.2145329,0.3384615,0.6763006,0.4376933,0.2475248,0.3294117,0.1836736,5
0.413793,0.230303,0.246988,0.03314917,0.1384083,0.2,0.5260116,0.5440764,0.6138615,0.2823529,0.3265307,6
0.5172414,0.1939394,0.2108434,0.01657459,0.1384083,0.4923077,0.5491329,0.3844973,0.6435645,0.2470588,0.3265307,6
0.5517241,0.2424242,0.2349398,0.441989,0.1349481,0.4461538,0.5202312,0.6200637,0.5742576,0.3529411,0.4285715,6
0.6896551,0.230303,0.2891566,0.02209945,0.1211073,0.2153846,0.4682081,0.2629186,0.3861387,0.3058823,0.6530613,6
0.6206895,0.2909091,0.2168675,0.07182321,0.07266436,0.523077,0.3641618,0.2021269,0.2970296,0.5647058,0.7959184,7
0.6896551,0.2060606,0.2168675,0.07458564,0.1314879,0.4307692,0.283237,0.30851,0.3861387,0.2470588,0.489796,6
